model,rank,feature,mean_abs_shap
xgboost,1,erc_20_Name_Uppercase_Ratio,0.13478350639343262
xgboost,2,erc_20_TokenQuantity,0.07907716184854507
xgboost,3,erc_20_Log_Normalized_Quantity,0.0451040156185627
xgboost,4,erc_20_Log_Quantity,0.044359803199768066
xgboost,5,erc_20_Unique_Chars_Name,0.029142040759325027
xgboost,6,erc_20_Name_Lowercase_Count,0.026307551190257072
xgboost,7,gas_used,0.02088247798383236
xgboost,8,total_gas_cost,0.02013508789241314
lightgbm,1,erc_20_TokenQuantity,0.7703931077735067
lightgbm,2,erc_20_Name_Num_Uppercase,0.7534686504623764
lightgbm,3,erc_20_Log_Normalized_Quantity,0.533997053674762
lightgbm,4,erc_20_Name_Uppercase_Ratio,0.49142085163267657
lightgbm,5,erc_721_Symbol_Is_Uppercase,0.3333098192550409
lightgbm,6,total_gas_cost,0.3050860688565846
lightgbm,7,gas_used,0.24448971971624636
lightgbm,8,erc_20_Log_Quantity,0.24190659779436013
random_forest,1,erc_20_Name_Uppercase_Ratio,0.051133111411221316
random_forest,2,erc_20_TokenQuantity,0.05015221468735492
random_forest,3,erc_20_Name_Num_Uppercase,0.0486512020770403
random_forest,4,erc_20_Log_Quantity,0.046802767465212544
random_forest,5,erc_20_Log_Normalized_Quantity,0.031808884842913665
random_forest,6,erc_20_Unique_Chars_Symbol,0.020231678567761667
random_forest,7,erc_20_Name_Lowercase_Count,0.018701825898201272
random_forest,8,erc_20_Unique_Chars_Name,0.018251274988546704
logistic_regression,1,erc_721_TokenQuantity,4.979850510787092
logistic_regression,2,erc_20_Symbol_Entropy,4.158440671593089
logistic_regression,3,erc_721_Is_Zero_Divisor,3.0640374808651485
logistic_regression,4,erc_20_Quantity_Is_Int,2.645688523729806
logistic_regression,5,erc_20_Unique_Chars_Symbol,2.4377566286887347
logistic_regression,6,erc_721_Symbol_Entropy,2.2550977320517203
logistic_regression,7,erc_20_Decimals_Above_10,2.2171224918028067
logistic_regression,8,erc_721_Name_Is_Alnum,1.890743243102107
